time,status,err_px_x,err_px_y,err_deg_x,err_deg_y,pan_target,tilt_target,pan_angle,tilt_angle,confidence,fps
0.002,TRACKING,483,-76,24.90,-3.92,83.77,89.21,90.00,90.00,0.871,51.2
0.051,TRACKING,481,-76,24.80,-3.92,77.55,88.42,87.50,89.21,0.870,48.2
0.087,NO FACE,0,0,0.00,0.00,77.55,88.42,84.92,88.42,0.000,46.1
0.124,NO FACE,0,0,0.00,0.00,77.55,88.42,82.39,88.42,0.000,44.2
0.161,NO FACE,0,0,0.00,0.00,77.55,88.42,81.12,88.42,0.000,42.5
0.197,NO FACE,0,0,0.00,0.00,77.55,88.42,78.55,88.42,0.000,41.0
0.233,NO FACE,0,0,0.00,0.00,77.55,88.42,77.55,88.42,0.000,39.7
0.269,NO FACE,0,0,0.00,0.00,77.55,88.42,77.55,88.42,0.000,38.5
0.306,NO FACE,0,0,0.00,0.00,77.55,88.42,77.55,88.42,0.000,37.3
0.342,NO FACE,0,0,0.00,0.00,77.55,88.42,77.55,88.42,0.000,36.4
0.379,NO FACE,0,0,0.00,0.00,77.55,88.42,77.55,88.42,0.000,35.5
0.415,NO FACE,0,0,0.00,0.00,77.55,88.42,77.55,88.42,0.000,34.7
0.452,NO FACE,0,0,0.00,0.00,77.55,88.42,77.55,88.42,0.000,33.9
0.488,NO FACE,0,0,0.00,0.00,77.55,88.42,77.55,88.42,0.000,33.3
0.524,NO FACE,0,0,0.00,0.00,77.55,88.42,77.55,88.42,0.000,32.7
0.561,NO FACE,0,0,0.00,0.00,77.55,88.42,77.55,88.42,0.000,32.2
0.596,NO FACE,0,0,0.00,0.00,77.55,88.42,77.55,88.42,0.000,31.8
0.633,NO FACE,0,0,0.00,0.00,77.55,88.42,77.55,88.42,0.000,31.4
0.667,NO FACE,0,0,0.00,0.00,77.55,88.42,77.55,88.42,0.000,31.1
0.703,NO FACE,0,0,0.00,0.00,77.55,88.42,77.55,88.42,0.000,30.8
0.738,NO FACE,0,0,0.00,0.00,77.55,88.42,77.55,88.42,0.000,30.6
0.774,NO FACE,0,0,0.00,0.00,77.55,88.42,77.55,88.42,0.000,30.3
0.810,NO FACE,0,0,0.00,0.00,77.55,88.42,77.55,88.42,0.000,30.1
0.846,NO FACE,0,0,0.00,0.00,77.55,88.42,77.55,88.42,0.000,29.8
0.881,NO FACE,0,0,0.00,0.00,77.55,88.42,77.55,88.42,0.000,29.7
0.917,NO FACE,0,0,0.00,0.00,77.55,88.42,77.55,88.42,0.000,29.5
0.952,NO FACE,0,0,0.00,0.00,77.55,88.42,77.55,88.42,0.000,29.4
0.988,NO FACE,0,0,0.00,0.00,77.55,88.42,77.55,88.42,0.000,29.2
1.024,NO FACE,0,0,0.00,0.00,77.55,88.42,77.55,88.42,0.000,29.1
1.060,NO FACE,0,0,0.00,0.00,77.55,88.42,77.55,88.42,0.000,29.0
1.094,NO FACE,0,0,0.00,0.00,77.55,88.42,77.55,88.42,0.000,29.0
1.130,NO FACE,0,0,0.00,0.00,77.55,88.42,77.55,88.42,0.000,28.9
1.166,NO FACE,0,0,0.00,0.00,77.55,88.42,77.55,88.42,0.000,28.8
1.202,NO FACE,0,0,0.00,0.00,77.55,88.42,77.55,88.42,0.000,28.7
1.237,NO FACE,0,0,0.00,0.00,77.55,88.42,77.55,88.42,0.000,28.6
1.273,NO FACE,0,0,0.00,0.00,77.55,88.42,77.55,88.42,0.000,28.6
